place_id,place_name,address,lat,lon,rating_place,reviewer,review_text,review_rating,review_date,review_likes,total_reviews_place,source,review_id,description,highlighted_description,avatar_title,rating,posted_at,ordered,liked_count,is_liked,is_review_owner,order_id,has_copy_order,content_last_modified_at,status,entity_type,edit_review_expiration_time,merchant_id,reviews_madeby_user,item_ratings,mex_reply,photos,should_display_see_translation,tags,avatar_url,is_question,text_ml,text_bert,token_count,label,is_augmented,augmentation_method,augmentation_source_text,augmentation_similarity,augmentation_jaccard
ChIJj6EmYPxeZS4RA5PV1GAcTXQ,Mie Ayam Pak Kumis Asli Bumiayu,"Jl. Riyanto No.16, Sumampir Wetan, Pabuaran, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53125, Indonesia",-7.4002193,109.2445157,4.2,Andunk A.H,Saya tidak berpikir itu akan bekerja.,2.0,2025-02-27T07:18:10.403Z,0.0,620.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,tidak pikir,saya tidak berpikir itu akan bekerja,3,0,True,back_translation_id_en_id,rasa sudah berkurang engga ky dulu,0.4507042253521127,0.0
ChIJfyxZtoleZS4RsyrM1NbW5NI,Dapoer Prambanan,"Jl. Merdeka No.10, Brubahan, Kranji, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.4259542,109.2371769,4.2,Diaz Adhyaksa,"Layanan itu terkesan sejak lama, perintah itu dilupakan, bulan cepat tiba sebelum 1645.",1.0,2026-03-07T11:50:26.405Z,0.0,1004.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,layan kes lama perintah lupa cepat,layanan itu terkesan sejak lama perintah itu dilupakan bulan cepat tiba sebelum 1645,15,0,True,back_translation_id_en_id,pelayanan lama sekali terkesan pesanan dilupakan bulan puasa sudah datang sebelum jam 16 45 makanan baru tersaji sekitar 18 30 itupun setelah kami komplikasi anak2 sudah keburu lapar,0.4163568773234201,0.08333333333333333
ChIJpRcwbhtfZS4R_Y_ak1-Y7I0,Mie Ayam Pak Marso,"Jl. Mardikenya, Brubahan, Purwanegara, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.423968,109.236043,4.5,rio wijaya,"Tempat ini kurang bersih, banyak debu.",1.0,2022-03-01T08:11:15.936Z,0.0,943.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,kurang bersih debu,tempat ini kurang bersih banyak debu,3,0,True,back_translation_id_en_id,tempat nya kurang bersih banyak debu,0.918918918918919,0.3333333333333333
ChIJqRL3DIleZS4RDQJ21bDXlmw,Mie Ayam Ijo Bpk. Sabar,"Brubahan, Purwanegara, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.4235896,109.2391104,4.6,Dwi Putro Nugroho,Botol sausnya kurang higiene.,4.0,2022-03-01T04:36:21.928Z,0.0,450.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,botol saus kurang higiene,botol sausnya kurang higiene,6,0,True,back_translation_id_en_id,botol saosnya mampet tumpah semua kebersihan kurang,0.475,0.2222222222222222
ChIJVYgdb59eZS4RZbAhrAhUrWw,Bakmi Nyemek Bu TRIMO,"Jl. Jend. Sudirman, Karanganyar, Berkoh, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53147, Indonesia",-7.4332135,109.2584942,4.4,Aryo Panangsang,Ini masuk akal untuk menunggu untuk memasak sedikit lebih lama Harga untuk rakyat biasa adalah berat,3.0,2026-02-09T02:14:09.385Z,0.0,749.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,masuk akal tunggu masak lama harga rakyat berat,ini masuk akal untuk menunggu untuk memasak sedikit lebih lama harga untuk rakyat biasa adalah berat,6,0,True,back_translation_id_en_id,rasa biasa nunggu masakan agak lama harga untuk kalangan biasa berat,0.6071428571428571,0.2631578947368421
ChIJsSo_3-lfZS4RIQS6AuCzD_o,"Mie Ayam 88 (Mie Ayam, Mie Bakso, Bebek Goreng, Ayam Goreng)","Jl. Bayangkara, RT.06/RW.06, Purwokerto, Kranji, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.4216875,109.2364375,5.0,Melisa Indri,Maksudku mie ayam.,5.0,2023-01-04T05:38:19.495Z,0.0,74.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,maksud,maksudku mie ayam,2,0,True,back_translation_id_en_id,maksnyuss mie ayamnya,0.717948717948718,0.2
ChIJHaPkB6v4ei4RY3PV4dFfO-Q,"Mie Ayam & Bakso ""Pak Man""","Jl. Pemuda No.57A, Teruman, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711, Indonesia",-7.877812,110.327223,4.3,Akatsuki Kosonglima,Sudah lama tidak melihat kasir.,5.0,2025-04-22T20:15:21.156Z,0.0,145.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,lama tidak kasir,sudah lama tidak melihat kasir,5,0,True,back_translation_id_en_id,lama ndak bertemu mbk kasir,0.5862068965517241,0.1111111111111111
ChIJOV0RGZleZS4Rj7dTbbBYfYA,Mie Ayam Deddy,"H794+W9H, Jl. Jend. Sudirman, Sokayasa, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53147, Indonesia",-7.4301934,109.2559782,4.6,Nuhaa Yumnaa faatin,"Ini lezat, tapi tidak cukup baik.",4.0,2025-11-23T08:05:55.109Z,0.0,311.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,lezat tapi tidak baik,ini lezat tapi tidak cukup baik,5,0,True,back_translation_id_en_id,lezat tapi kurang gurih aja kuahnya,0.47058823529411764,0.09090909090909091
ChIJIa6A2JheZS4RGBaxKksbR4Q,Mie Ayam Mbak Kimun,"Jl. Jend. Sudirman No.895, Pejagalan, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53147, Indonesia",-7.431097,109.2564693,4.4,Bin Toro,koki mie lezat tapi sayangnya layanan masuk gadis-gadis sedang duduk tapi tidak ada karyawan yang mengajukan pertanyaan dari tiga karyawan.,1.0,2022-06-11T04:19:30.081Z,1.0,760.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,koki lezat tapi sayang layan masuk gadis gadis duduk tapi tidak karyawan aju karyawan,koki mie lezat tapi sayangnya layanan masuk gadis gadis sedang duduk tapi tidak ada karyawan yang mengajukan pertanyaan dari tiga karyawan,18,0,True,back_translation_id_en_id,masakan mie nya lezat tapi sayang pelayanan nya mengecewekan sudah masuk duduk tapi pegawainya tidak ada satu pun yang menanyakan sesuatu hal dari 3 karyawan semua sibuk main hp teramat sangat mengecewakan,0.5290697674418605,0.2564102564102564
ChIJYUE1GiBfZS4RDlww2YMt828,Bakso Gendut Putro,"H7C3+X2W, Jl. Jend. Sudirman, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53147, Indonesia",-7.4275052,109.2525653,4.5,Wastirah 1012,presse ora pas dadi ora nemu simp special,5.0,2025-11-01T08:07:54.398Z,0.0,323.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,presse ora pas dadi ora nemu simp special,presse ora pas dadi ora nemu simp special,8,0,True,back_translation_id_en_id,tekane ora pas dadi ora nemu simg special,0.8780487804878049,0.5555555555555556
