place_id,place_name,address,lat,lon,rating_place,reviewer,review_text,review_rating,review_date,review_likes,total_reviews_place,source,review_id,description,highlighted_description,avatar_title,rating,posted_at,ordered,liked_count,is_liked,is_review_owner,order_id,has_copy_order,content_last_modified_at,status,entity_type,edit_review_expiration_time,merchant_id,reviews_madeby_user,item_ratings,mex_reply,photos,should_display_see_translation,tags,avatar_url,is_question,text_ml,text_bert,token_count,review_date_dt,label,data_source_role,train_split_row_id
ChIJIa6A2JheZS4RGBaxKksbR4Q,Mie Ayam Mbak Kimun,"Jl. Jend. Sudirman No.895, Pejagalan, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53147, Indonesia",-7.431097,109.2564693,4.4,Dodi Zain,"Mi ayamnya enak, porsi pas",5.0,2022-05-31T08:10:09.301Z,0.0,760.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,mie ayam enak porsi pas,mie ayam enak porsi pas,5,2022-05-31 08:10:09.301,1,train_pool_all_platforms,944
ChIJtUXrGaJfZS4RFdjb2lc6kXs,Mie Ayam Mas Mul Gendut,"Jl. Komisaris Bambang Suprapto, Cigrobak, Purwokerto Lor, Kec. Purwokerto Tim., Kab. Banyumas, Jawa Tengah 53111, Indonesia",-7.4232472,109.2504548,4.6,Ipram Budi,"Tempat bersih
Banyak pilihan menu mie ayam  ceker , telur dan biasa
Serta harga dan porsi yang pass",4.0,2022-01-25T07:05:24.216Z,0.0,59.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,bersih banyak pilih menu mie ayam ceker telur harga porsi pass,tempat bersih banyak pilihan menu mie ayam ceker telur dan biasa serta harga dan porsi yang pass,11,2022-01-25 07:05:24.216,1,train_pool_all_platforms,2280
ChIJU2LAnzFcZS4R2IzdxnmMrBE,"Mie Ayam ""We-Tan""2","Jl. Kyai H. Wahid Hasim, Windusara, Karangklesem, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53144, Indonesia",-7.4502034,109.2429061,4.4,Pujo Prayitno,Anu nge Grab,5.0,2023-02-07T13:26:30.015Z,0.0,642.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,anu nge grab,anu nge grab,3,2023-02-07 13:26:30.015,0,train_pool_all_platforms,816
ChIJ-zDoLbv-aS4RHBykXuqygxk,Mie Ayam Banyumas Tirta Kencana 1,"Jl. Pandan Raya No.26C, RT.005/RW.012, Cibodasari, Kec. Cibodas, Kota Tangerang, Banten 15138, Indonesia",-6.2121944,106.6141168,4.6,Puji Astuti,"Bos. Kalo orderan online langsung dibuat. Biar drever datang tinggal ambil.
Ini mah nunggu drever datang baru dibuat. Merugikan waktu drever.",1.0,2023-10-08T13:37:42.743Z,1.0,1415.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,bos order online langsung biar driver tinggal ambil mah nunggu driver rugi driver,bos kalau orderan online langsung dibuat biar driver datang tinggal ambil ini mah nunggu driver datang baru dibuat merugikan waktu driver,13,2023-10-08 13:37:42.743,0,train_pool_all_platforms,1379
ChIJabBj1B9fZS4RIw6Vh9Nfvhg,Mie Ayam & Bakso WE-TAN,"Jl. Senopati, Arcawinangun, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53113, Indonesia",-7.4157893,109.2637874,4.4,inunk tea,Gtw kenapa ada rasa pahit di mie ayamnya.mnkin dr kecapnya atw mie nya,3.0,2023-12-21T02:02:40.597Z,0.0,105.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,gtw rasa pahit mie ayam mnkin kecap atw mie,gtw kenapa ada rasa pahit di mie ayam mnkin dari kecapnya atw mie nya,9,2023-12-21 02:02:40.597,0,train_pool_all_platforms,2448
ChIJgSryGE5fZS4R45F-Elk9_Ss,Mie Ayam wonogiri Pak Bothak Purwokerto,"Jl. A Jaelani No.31, RT.3/RW.02, Karangwangkal, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53123, Indonesia",-7.4041367,109.255833,5.0,aditya putra,"Rasanya enak, tidak mengecewakan",5.0,2025-09-23T06:53:40.233Z,0.0,64.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,enak tidak kecewa,rasanya enak tidak mengecewakan,3,2025-09-23 06:53:40.233,1,train_pool_all_platforms,2678
ChIJ53Cyt5JeZS4RayuyzojgXQ0,Mie Ayam dan Bakso Tunggal Rasa,"Jl. Prof. Dr. Suharso No.12, Glempang, Bancarkembar, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53115, Indonesia",-7.4171956,109.2461375,4.4,Quin Andrea,Rasa OK Harga Pas dikantong,5.0,2021-06-01T15:44:45.412Z,0.0,969.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,rasa baik harga pas kantong,rasa baik harga pas dikantong,5,2021-06-01 15:44:45.412,1,train_pool_all_platforms,2484
ChIJfyxZtoleZS4RsyrM1NbW5NI,Dapoer Prambanan,"Jl. Merdeka No.10, Brubahan, Kranji, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.4259542,109.2371769,4.2,Vinna Salsabila,"Datang kesini mesen makan ga banyak cuma 2 porsi,  nunggu sampe 1 jaman. mesen air mineral aja ga dikasih2, dikomplen makanan ga datang2 bilangnya lagi dibuat, udah ditunggu ga datang akhirnya bilang cancel aja eh buru2 kasirnya ke dapur buat dibungkusin. Tidak bagus pelayanannya sangat lama, makanan nya juga ga terlalu enak.",1.0,2022-12-24T14:19:33.854Z,0.0,1004.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,kesini mesen makan tidak banyak porsi nunggu sampe jaman mesen air mineral tidak dikasih2 dikomplen makan tidak datang2 bilang tunggu tidak bilang cancel eh buru2 kasir dapur dibungkusin tidak bagus layan sangat lama makan tidak terlalu enak,datang kesini mesen makan tidak banyak cuma 2 porsi nunggu sampe 1 jaman mesen air mineral aja tidak dikasih2 dikomplen makanan tidak datang2 bilangnya lagi dibuat sudah ditunggu tidak datang akhirnya bilang cancel aja eh buru2 kasirnya ke dapur untuk dibungkusin tidak bagus pelayanannya sangat lama makanan nya juga tidak terlalu enak,37,2022-12-24 14:19:33.854,0,train_pool_all_platforms,1780
ChIJB_I_rGJeZS4R6N3Mbln0T6c,Mie Ayam Tipar,"H6FP+429, Jl. Kolonel Sugiono, Kranjimuntang, Purwanegara, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.427217,109.2351073,4.4,Bahri Javis,"tempatnya luas,bersih,murah
parkirnya gratis",5.0,2022-12-09T00:05:55.931Z,0.0,608.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,tempat luas bersih murah parkir gratis,tempatnya luas bersih murah parkirnya gratis,6,2022-12-09 00:05:55.931,1,train_pool_all_platforms,279
ChIJ0Q3VP-JfZS4Rjk32_oSzwZk,Mie Ayam Nyak Dien,"Jl. Prof. Dr. Suharso, Arcawinangun, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53114, Indonesia",-7.4177608,109.2533294,4.6,Rio zsxx,mntppp,5.0,2025-07-30T08:33:43.838Z,0.0,346.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,False,mntpp,mntpp,1,2025-07-30 08:33:43.838,1,train_pool_all_platforms,269
